Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000	
PatTrie-Seq-4MinDepth-3000-rawIteration1	0.26	0.59	1.03	1.5	1.99	2.59	3.09	3.57		PatTrie-Seq-4MinDepth-3000-rawIteration1	2.16	162.09	0.013	2763.0	0.093	0.15		PatTrie-Seq-4MinDepth-3000-rawIteration1	1.76	3.38	5.02	6.65	8.14	10.0	11.71	13.37		PatTrie-Seq-4MinDepth-3000-rawIteration1	10.67	21.66	32.6	43.61	54.56	65.45	76.39	87.17	8.0E7		PatTrie-Seq-4MinDepth-3000-rawIteration1	0.82	1.45	2.06	2.71	3.31	3.92	4.48	5.11	
PatTrie-Seq-4MinDepth-3000-rawIteration2	0.26	0.58	1.02	1.53	2.01	2.6	3.07	3.64		PatTrie-Seq-4MinDepth-3000-rawIteration2	2.16	162.09	0.013	2763.0	0.073	0.201		PatTrie-Seq-4MinDepth-3000-rawIteration2	1.79	3.46	5.1	6.73	8.18	10.04	11.67	13.32		PatTrie-Seq-4MinDepth-3000-rawIteration2	10.67	21.61	32.56	43.48	54.41	65.38	76.42	87.35	8.0E7		PatTrie-Seq-4MinDepth-3000-rawIteration2	0.83	1.46	2.07	2.68	3.31	3.91	4.49	5.11	
PatTrie-Seq-4MinDepth-6000-rawIteration0	0.24	0.55	0.94	1.35	1.78	2.25	2.87	3.29		PatTrie-Seq-4MinDepth-6000-rawIteration0	1.45	161.83	0.009	1364.0	0.064	0.126		PatTrie-Seq-4MinDepth-6000-rawIteration0	1.54	2.98	4.52	5.94	7.27	8.86	10.35	11.88		PatTrie-Seq-4MinDepth-6000-rawIteration0	9.8	20.06	29.74	39.97	49.58	59.51	69.15	79.12	8.0E7		PatTrie-Seq-4MinDepth-6000-rawIteration0	0.61	1.22	1.76	2.28	2.8	3.32	3.82	4.36	
PatTrie-Seq-4MinDepth-6000-rawIteration1	0.24	0.56	0.96	1.36	1.79	2.26	2.79	3.21		PatTrie-Seq-4MinDepth-6000-rawIteration1	1.45	161.83	0.009	1364.0	0.089	0.1		PatTrie-Seq-4MinDepth-6000-rawIteration1	1.56	3.03	4.57	6.01	7.33	8.96	10.44	12.0		PatTrie-Seq-4MinDepth-6000-rawIteration1	9.56	19.5	29.11	38.99	48.58	58.46	68.16	78.12	8.0E7		PatTrie-Seq-4MinDepth-6000-rawIteration1	0.64	1.24	1.78	2.29	2.84	3.35	3.86	4.4	
PatTrie-Seq-4MinDepth-6000-rawIteration2	0.24	0.54	0.95	1.36	1.79	2.27	2.78	3.21		PatTrie-Seq-4MinDepth-6000-rawIteration2	1.45	161.83	0.009	1364.0	0.067	0.103		PatTrie-Seq-4MinDepth-6000-rawIteration2	1.56	3.01	4.56	5.96	7.29	8.89	10.35	11.9		PatTrie-Seq-4MinDepth-6000-rawIteration2	9.57	19.48	29.18	39.09	48.75	58.72	68.3	77.99	8.0E7		PatTrie-Seq-4MinDepth-6000-rawIteration2	0.61	1.23	1.76	2.27	2.8	3.32	3.82	4.33	
PatTrie-Seq-4MinDepth-12000-rawIteration0	0.24	0.57	0.94	1.31	1.74	2.17	2.58	3.05		PatTrie-Seq-4MinDepth-12000-rawIteration0	1.1	161.72	0.007	661.0	0.049	0.058		PatTrie-Seq-4MinDepth-12000-rawIteration0	1.5	2.86	4.33	5.72	6.98	8.52	9.92	11.39		PatTrie-Seq-4MinDepth-12000-rawIteration0	9.17	18.36	27.65	37.02	46.35	55.55	64.65	73.93	8.0E7		PatTrie-Seq-4MinDepth-12000-rawIteration0	0.56	1.13	1.62	2.09	2.56	3.03	3.49	3.96	
PatTrie-Seq-4MinDepth-12000-rawIteration1	0.24	0.54	1.03	1.39	1.81	2.24	2.64	3.12		PatTrie-Seq-4MinDepth-12000-rawIteration1	1.1	161.72	0.007	661.0	0.053	0.091		PatTrie-Seq-4MinDepth-12000-rawIteration1	1.5	2.85	4.31	5.73	6.98	8.52	9.94	11.43		PatTrie-Seq-4MinDepth-12000-rawIteration1	9.24	18.47	27.62	36.91	46.22	55.39	64.58	74.09	8.0E7		PatTrie-Seq-4MinDepth-12000-rawIteration1	0.57	1.14	1.63	2.1	2.57	3.05	3.51	4.0	
PatTrie-Seq-4MinDepth-12000-rawIteration2	0.24	0.54	0.91	1.28	1.68	2.11	2.52	3.0		PatTrie-Seq-4MinDepth-12000-rawIteration2	1.1	161.72	0.007	661.0	0.055	0.053		PatTrie-Seq-4MinDepth-12000-rawIteration2	1.51	2.87	4.33	5.73	7.02	8.58	9.98	11.47		PatTrie-Seq-4MinDepth-12000-rawIteration2	9.15	18.28	27.66	37.11	46.45	55.62	64.82	74.24	8.0E7		PatTrie-Seq-4MinDepth-12000-rawIteration2	0.58	1.16	1.65	2.11	2.59	3.06	3.51	3.99	
PatTrie-Word-EvenSplits-50-rawIteration0	1.54	3.0	5.66	10.22	18.85	26.78	33.42	37.73		PatTrie-Word-EvenSplits-50-rawIteration0	22.4	155.1	0.144	55873.0	0.054	0.543		PatTrie-Word-EvenSplits-50-rawIteration0	3.73	6.46	9.18	11.8	14.55	17.2	19.74	22.34		PatTrie-Word-EvenSplits-50-rawIteration0	19.96	39.28	59.01	78.5	98.28	116.72	136.19	155.54	1.60779811E8		PatTrie-Word-EvenSplits-50-rawIteration0	4.18	8.86	13.34	17.44	23.36	28.24	32.68	38.4	
PatTrie-Word-EvenSplits-50-rawIteration1	1.47	2.94	5.48	9.66	18.76	25.96	32.67	36.97		PatTrie-Word-EvenSplits-50-rawIteration1	22.4	155.1	0.144	55873.0	0.051	0.541		PatTrie-Word-EvenSplits-50-rawIteration1	3.77	6.44	9.07	11.66	14.29	16.84	19.4	22.01		PatTrie-Word-EvenSplits-50-rawIteration1	19.84	39.51	59.17	78.76	98.58	117.04	136.48	155.76	1.60779811E8		PatTrie-Word-EvenSplits-50-rawIteration1	3.7	7.32	12.58	17.48	21.99	26.24	31.26	36.44	
