Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Rand-CompressSnappy-150-rawIteration1	0.16	0.39	0.65	0.91	5.18	22.88	53.46	88.95		BTree-Rand-CompressSnappy-150-rawIteration1	11.67	92.96	0.126	9574	0.123	0.651		BTree-Rand-CompressSnappy-150-rawIteration1	13.31	27.16	39.27	51.76	64.04	76.22	88.45	100.81		BTree-Rand-CompressSnappy-150-rawIteration1	12.32	24.83	37.35	50.02	62.24	74.73	86.93	99.39	1568509		BTree-Rand-CompressSnappy-150-rawIteration1	22.5	46.62	65.89	80.61	87.54	87.97	88.12	88.4
BTree-Rand-CompressSnappy-150-rawIteration2	0.16	0.39	0.64	0.91	4.37	21.55	52.16	86.71		BTree-Rand-CompressSnappy-150-rawIteration2	11.66	92.98	0.125	9563	0.129	0.653		BTree-Rand-CompressSnappy-150-rawIteration2	13.04	26.54	38.51	51.08	63.92	76.73	89.14	101.4		BTree-Rand-CompressSnappy-150-rawIteration2	12.29	24.68	37.17	50.01	62.2	74.57	86.99	99.62	1569303		BTree-Rand-CompressSnappy-150-rawIteration2	24.49	46.73	66.38	86.28	94.35	94.8	94.95	95.51
BTree-Rand-CompressGzip-ArrayList-70-rawIteration0	0.2	0.47	0.77	1.1	10.31	37.58	77.25	127.59		BTree-Rand-CompressGzip-ArrayList-70-rawIteration0	12.98	99.09	0.131	20987	0.156	0.621		BTree-Rand-CompressGzip-ArrayList-70-rawIteration0	19.89	38.31	56.66	75.12	93.8	112.81	133.38	153.93		BTree-Rand-CompressGzip-ArrayList-70-rawIteration0	21.66	46.13	72.98	95.42	236.28	259.59	278.81	298.16	1569299		BTree-Rand-CompressGzip-ArrayList-70-rawIteration0	27.57	57.37	88.47	104.36	119.36	124.71	125.03	125.57
BTree-Rand-CompressGzip-ArrayList-70-rawIteration1	0.2	0.47	0.79	1.11	9.28	31.1	66.69	117.77		BTree-Rand-CompressGzip-ArrayList-70-rawIteration1	12.98	99.12	0.131	20983	0.173	0.603		BTree-Rand-CompressGzip-ArrayList-70-rawIteration1	21.29	39.93	59.8	81.89	101.91	147.22	166.46	185.48		BTree-Rand-CompressGzip-ArrayList-70-rawIteration1	19.32	38.58	57.51	76.72	96.04	115.25	134.58	153.99	1568509		BTree-Rand-CompressGzip-ArrayList-70-rawIteration1	25.74	55.12	86.25	115.75	127.48	134.08	136.79	137.35
BTree-Rand-CompressGzip-ArrayList-70-rawIteration2	0.2	0.46	0.76	1.1	9.2	33.03	70.81	114.64		BTree-Rand-CompressGzip-ArrayList-70-rawIteration2	12.98	99.2	0.131	20998	0.175	0.575		BTree-Rand-CompressGzip-ArrayList-70-rawIteration2	19.25	38.01	56.85	75.57	94.43	113.71	132.67	151.63		BTree-Rand-CompressGzip-ArrayList-70-rawIteration2	19.45	38.49	57.44	76.51	95.61	114.74	133.83	153.04	1569303		BTree-Rand-CompressGzip-ArrayList-70-rawIteration2	27.54	55.02	86.37	104.15	115.93	119.3	119.64	120.19
BTree-Rand-CompressGzip-150-rawIteration0	0.18	0.4	0.65	0.92	6.11	29.55	73.82	121.8		BTree-Rand-CompressGzip-150-rawIteration0	8.32	93.03	0.089	9571	0.205	0.504		BTree-Rand-CompressGzip-150-rawIteration0	23.35	46.95	70.36	94.23	118.13	141.74	165.53	189.25		BTree-Rand-CompressGzip-150-rawIteration0	23.37	47.27	71.28	95.37	119.06	142.99	166.73	191.67	1569299		BTree-Rand-CompressGzip-150-rawIteration0	34.6	64.77	90.28	109.58	118	118.53	118.9	119.18
BTree-Rand-CompressGzip-150-rawIteration1	0.17	0.39	0.65	0.94	6.3	31.76	76.22	127.27		BTree-Rand-CompressGzip-150-rawIteration1	8.32	92.84	0.09	9574	0.193	0.515		BTree-Rand-CompressGzip-150-rawIteration1	23.87	47.68	71.54	95.13	119.46	142.99	166.73	190.24		BTree-Rand-CompressGzip-150-rawIteration1	23.69	47.7	71.7	95.67	119.66	144.07	167.71	191.96	1568509		BTree-Rand-CompressGzip-150-rawIteration1	35.09	64.06	91.01	108.72	117.06	117.63	117.83	118.33
BTree-Rand-CompressGzip-150-rawIteration2	0.16	0.39	0.64	0.92	6.03	30.16	70.61	120.94		BTree-Rand-CompressGzip-150-rawIteration2	8.31	92.88	0.09	9563	0.202	0.496		BTree-Rand-CompressGzip-150-rawIteration2	23.58	47.66	71.37	95.65	119.35	143.22	166.9	190.52		BTree-Rand-CompressGzip-150-rawIteration2	24.1	47.93	71.85	96.22	119.73	143.6	167.75	192.11	1569303		BTree-Rand-CompressGzip-150-rawIteration2	30.17	64.06	91.5	110.42	117.66	118.36	118.51	118.8
BTree-Rand-CompressNone-ArrayList-70-rawIteration0	0.19	0.46	0.77	1.08	7.02	25.03	49.9	82.44		BTree-Rand-CompressNone-ArrayList-70-rawIteration0	23.97	99.38	0.241	20987	0.052	0.763		BTree-Rand-CompressNone-ArrayList-70-rawIteration0	9.64	19.5	28.96	38.98	49.18	59.18	68.66	78.32		BTree-Rand-CompressNone-ArrayList-70-rawIteration0	9.72	19.49	29.22	38.93	48.59	58.33	67.78	77.75	1569299		BTree-Rand-CompressNone-ArrayList-70-rawIteration0	19.65	40.56	61.58	74.7	87.2	91.32	91.6	92.16
BTree-Rand-CompressNone-ArrayList-70-rawIteration1	0.19	0.45	0.75	1.09	7.33	25.66	53.99	85.5		BTree-Rand-CompressNone-ArrayList-70-rawIteration1	23.97	99.4	0.241	20983	0.047	0.79		BTree-Rand-CompressNone-ArrayList-70-rawIteration1	9.79	20.38	30.17	39.73	50.9	60.54	70.04	79.54		BTree-Rand-CompressNone-ArrayList-70-rawIteration1	9.38	19.02	28.72	38.38	48.18	58	67.41	77.24	1568509		BTree-Rand-CompressNone-ArrayList-70-rawIteration1	16.7	41.96	62.4	77.7	87.59	93.19	93.61	94.17
BTree-Rand-CompressNone-ArrayList-70-rawIteration2	0.21	0.48	0.78	1.11	7.01	25.77	49.6	79.92		BTree-Rand-CompressNone-ArrayList-70-rawIteration2	23.97	99.47	0.241	20998	0.047	0.77		BTree-Rand-CompressNone-ArrayList-70-rawIteration2	9.76	20.9	32.67	42.35	51.9	62.92	72.32	81.76		BTree-Rand-CompressNone-ArrayList-70-rawIteration2	9.33	19.07	28.75	38.47	48.16	57.87	67.36	77.43	1569303		BTree-Rand-CompressNone-ArrayList-70-rawIteration2	18.97	38.68	60.63	80.8	95.02	97.45	97.74	99.68
BTree-Rand-CompressNone-150-rawIteration0	0.16	0.38	0.65	0.91	3.97	17.03	41.5	75.13		BTree-Rand-CompressNone-150-rawIteration0	17.28	93.65	0.185	9571	0.073	0.69		BTree-Rand-CompressNone-150-rawIteration0	10.47	20.93	31.15	41.37	51.81	62.05	72.43	82.43		BTree-Rand-CompressNone-150-rawIteration0	9.94	20.32	30.76	41.46	51.38	61.79	72.3	82.46	1569299		BTree-Rand-CompressNone-150-rawIteration0	19	40.68	58.36	70.1	75.55	75.94	76.12	76.62
BTree-Rand-CompressNone-150-rawIteration1	0.17	0.4	0.67	0.93	4.12	18.01	45.8	78.77		BTree-Rand-CompressNone-150-rawIteration1	17.29	93.51	0.185	9574	0.065	0.7		BTree-Rand-CompressNone-150-rawIteration1	10.78	20.01	30.2	40.72	50.93	61.48	71.49	81.78		BTree-Rand-CompressNone-150-rawIteration1	10.35	20.87	31.03	41.41	51.86	62.23	72.71	82.93	1568509		BTree-Rand-CompressNone-150-rawIteration1	18.07	39.45	58.09	70.22	76.84	77.18	77.42	77.72
BTree-Rand-CompressNone-150-rawIteration2	0.16	0.4	0.66	0.94	4.39	17.27	42.53	72.72		BTree-Rand-CompressNone-150-rawIteration2	17.28	93.53	0.185	9563	0.072	0.704		BTree-Rand-CompressNone-150-rawIteration2	10.73	22.44	32.75	43	53.61	63.76	74.23	84.48		BTree-Rand-CompressNone-150-rawIteration2	9.98	20.87	31.45	42.24	52.86	63.42	73.78	84.76	1569303		BTree-Rand-CompressNone-150-rawIteration2	19.92	42.71	59.44	73.38	79.28	79.71	79.88	80.2
PatTrie-Seq-CompressSnappy-6000-rawIteration0	0.37	0.63	0.97	1.28	1.62	1.97	2.31	2.64		PatTrie-Seq-CompressSnappy-6000-rawIteration0	1	161.72	0.006	500	0.077	0.052		PatTrie-Seq-CompressSnappy-6000-rawIteration0	1.31	2.65	3.87	5.12	6.19	7.43	8.67	9.89		PatTrie-Seq-CompressSnappy-6000-rawIteration0	9.94	19.53	28.84	38.08	47.32	56.47	65.47	74.64	8.0E7		PatTrie-Seq-CompressSnappy-6000-rawIteration0	0.51	0.96	1.41	1.83	2.27	2.69	3.11	3.49
PatTrie-Seq-CompressSnappy-6000-rawIteration1	0.29	0.56	0.88	1.19	1.53	1.9	2.25	2.59		PatTrie-Seq-CompressSnappy-6000-rawIteration1	1	161.72	0.006	500	0.064	0.053		PatTrie-Seq-CompressSnappy-6000-rawIteration1	1.26	2.54	3.78	5.07	6.18	7.44	8.71	9.97		PatTrie-Seq-CompressSnappy-6000-rawIteration1	8.95	18.38	27.5	36.87	46	55.05	64.28	73.24	8.0E7		PatTrie-Seq-CompressSnappy-6000-rawIteration1	0.48	0.94	1.39	1.83	2.28	2.71	3.15	3.54
PatTrie-Seq-CompressSnappy-6000-rawIteration2	0.24	0.5	0.82	1.13	1.49	1.84	2.19	2.53		PatTrie-Seq-CompressSnappy-6000-rawIteration2	1	161.72	0.006	500	0.071	0.05		PatTrie-Seq-CompressSnappy-6000-rawIteration2	1.23	2.49	3.71	4.97	6.07	7.33	8.58	9.81		PatTrie-Seq-CompressSnappy-6000-rawIteration2	9.46	18.73	27.62	36.83	45.69	54.56	63.66	72.62	8.0E7		PatTrie-Seq-CompressSnappy-6000-rawIteration2	0.48	0.93	1.38	1.81	2.25	2.69	3.12	3.51
PatTrie-Seq-CompressSnappy-12000-rawIteration0	0.28	0.64	1.1	1.53	2.07	2.61	3.1	3.71		PatTrie-Seq-CompressSnappy-12000-rawIteration0	0.96	161.65	0.006	260	0.037	0.025		PatTrie-Seq-CompressSnappy-12000-rawIteration0	1.53	3.3	5.27	7.02	8.71	10.27	12.08	14.05		PatTrie-Seq-CompressSnappy-12000-rawIteration0	9.2	18.67	27.94	37.33	46.81	56.02	65.46	74.62	8.0E7		PatTrie-Seq-CompressSnappy-12000-rawIteration0	0.56	1.23	1.97	2.61	3.4	4.13	4.81	5.51
PatTrie-Seq-CompressSnappy-12000-rawIteration1	0.28	0.66	1.13	1.55	2.12	2.69	3.19	3.81		PatTrie-Seq-CompressSnappy-12000-rawIteration1	0.96	161.65	0.006	260	0.037	0.03		PatTrie-Seq-CompressSnappy-12000-rawIteration1	1.53	3.31	5.32	7.15	8.8	10.37	12.19	14.24		PatTrie-Seq-CompressSnappy-12000-rawIteration1	9.15	18.74	28.29	37.91	47.41	56.88	66.62	76.29	8.0E7		PatTrie-Seq-CompressSnappy-12000-rawIteration1	0.57	1.25	2.02	2.66	3.47	4.21	4.87	5.56
PatTrie-Seq-CompressSnappy-12000-rawIteration2	0.28	0.65	1.12	1.55	2.14	2.68	3.16	3.78		PatTrie-Seq-CompressSnappy-12000-rawIteration2	0.96	161.65	0.006	260	0.039	0.028		PatTrie-Seq-CompressSnappy-12000-rawIteration2	1.53	3.3	5.25	7.03	8.67	10.25	12.03	14.01		PatTrie-Seq-CompressSnappy-12000-rawIteration2	9.19	18.73	28.14	37.61	46.84	56.37	65.95	75.23	8.0E7		PatTrie-Seq-CompressSnappy-12000-rawIteration2	0.58	1.25	2.02	2.68	3.49	4.25	4.91	5.61
PatTrie-Seq-CompressGzip-6000-rawIteration0	0.24	0.51	0.86	1.21	1.57	1.97	2.33	2.75		PatTrie-Seq-CompressGzip-6000-rawIteration0	0.4	161.72	0.002	500	0.126	0.057		PatTrie-Seq-CompressGzip-6000-rawIteration0	1.32	2.65	3.93	5.25	6.41	7.67	8.96	10.26		PatTrie-Seq-CompressGzip-6000-rawIteration0	9.79	19.58	28.95	38.62	48.11	57.57	67.04	76.91	8.0E7		PatTrie-Seq-CompressGzip-6000-rawIteration0	0.49	0.95	1.41	1.84	2.29	2.73	3.16	3.56
PatTrie-Seq-CompressGzip-6000-rawIteration1	0.23	0.5	0.83	1.17	1.52	1.9	2.26	2.62		PatTrie-Seq-CompressGzip-6000-rawIteration1	0.4	161.72	0.002	500	0.116	0.05		PatTrie-Seq-CompressGzip-6000-rawIteration1	1.25	2.52	3.77	5.04	6.15	7.42	8.69	9.92		PatTrie-Seq-CompressGzip-6000-rawIteration1	9.37	19.13	28.59	38.75	48.17	58.02	67.71	77.38	8.0E7		PatTrie-Seq-CompressGzip-6000-rawIteration1	0.5	0.96	1.42	1.86	2.32	2.75	3.17	3.57
PatTrie-Seq-CompressGzip-6000-rawIteration2	0.23	0.49	0.82	1.15	1.5	1.87	2.23	2.59		PatTrie-Seq-CompressGzip-6000-rawIteration2	0.4	161.72	0.002	500	0.121	0.052		PatTrie-Seq-CompressGzip-6000-rawIteration2	1.23	2.51	3.75	5.01	6.12	7.43	8.71	9.95		PatTrie-Seq-CompressGzip-6000-rawIteration2	9.52	19.12	28.84	38.47	48.33	57.97	67.56	77.28	8.0E7		PatTrie-Seq-CompressGzip-6000-rawIteration2	0.49	0.95	1.4	1.83	2.28	2.71	3.13	3.53
PatTrie-Seq-CompressGzip-12000-rawIteration0	0.28	0.64	1.11	1.54	2.1	2.77	3.27	3.9		PatTrie-Seq-CompressGzip-12000-rawIteration0	0.3	161.65	0.002	260	0.066	0.04		PatTrie-Seq-CompressGzip-12000-rawIteration0	1.54	3.31	5.3	7.08	8.76	10.31	12.13	14.13		PatTrie-Seq-CompressGzip-12000-rawIteration0	9.65	19.51	29.38	39.47	49.05	58.88	68.66	78.79	8.0E7		PatTrie-Seq-CompressGzip-12000-rawIteration0	0.58	1.26	2.04	2.68	3.53	4.31	4.97	5.65
PatTrie-Seq-CompressGzip-12000-rawIteration1	0.29	0.67	1.15	1.62	2.19	2.74	3.24	3.86		PatTrie-Seq-CompressGzip-12000-rawIteration1	0.3	161.65	0.002	260	0.067	0.019		PatTrie-Seq-CompressGzip-12000-rawIteration1	1.57	3.33	5.28	7.07	8.71	10.26	12.03	14.03		PatTrie-Seq-CompressGzip-12000-rawIteration1	9.46	19.4	29.22	39.14	48.86	58.8	68.59	78.62	8.0E7		PatTrie-Seq-CompressGzip-12000-rawIteration1	0.57	1.24	2.05	2.73	3.53	4.26	4.92	5.65
PatTrie-Seq-CompressGzip-12000-rawIteration2	0.28	0.64	1.14	1.58	2.16	2.7	3.2	3.83		PatTrie-Seq-CompressGzip-12000-rawIteration2	0.3	161.65	0.002	260	0.068	0.018		PatTrie-Seq-CompressGzip-12000-rawIteration2	1.53	3.31	5.28	7.07	8.72	10.27	12.05	14.05		PatTrie-Seq-CompressGzip-12000-rawIteration2	9.54	19.28	29.32	39.42	49.06	59.06	68.74	78.63	8.0E7		PatTrie-Seq-CompressGzip-12000-rawIteration2	0.56	1.22	1.97	2.61	3.4	4.14	4.78	5.44
PatTrie-Seq-CompressNone-6000-rawIteration0	0.23	0.49	0.81	1.12	1.46	1.82	2.16	2.51		PatTrie-Seq-CompressNone-6000-rawIteration0	12.2	161.72	0.075	500	0.074	0.057		PatTrie-Seq-CompressNone-6000-rawIteration0	1.23	2.5	3.72	4.99	6.12	7.35	8.62	9.86		PatTrie-Seq-CompressNone-6000-rawIteration0	9.14	18.34	27.27	36.47	45.37	54.51	63.55	72.87	8.0E7		PatTrie-Seq-CompressNone-6000-rawIteration0	0.48	0.94	1.39	1.82	2.31	2.74	3.17	3.56
PatTrie-Seq-CompressNone-6000-rawIteration1	0.23	0.49	0.8	1.12	1.48	1.83	2.2	2.54		PatTrie-Seq-CompressNone-6000-rawIteration1	12.2	161.72	0.075	500	0.064	0.059		PatTrie-Seq-CompressNone-6000-rawIteration1	1.25	2.52	3.77	5.03	6.13	7.41	8.68	9.91		PatTrie-Seq-CompressNone-6000-rawIteration1	9.04	18.31	27.26	36.38	45.72	54.84	63.88	72.91	8.0E7		PatTrie-Seq-CompressNone-6000-rawIteration1	0.5	0.98	1.44	1.88	2.36	2.82	3.25	3.67
PatTrie-Seq-CompressNone-6000-rawIteration2	0.23	0.51	0.84	1.17	1.53	1.9	2.25	2.63		PatTrie-Seq-CompressNone-6000-rawIteration2	12.2	161.72	0.075	500	0.061	0.06		PatTrie-Seq-CompressNone-6000-rawIteration2	1.26	2.57	3.86	5.2	6.37	7.65	8.94	10.19		PatTrie-Seq-CompressNone-6000-rawIteration2	9.11	18.02	27.2	36.31	45.64	54.76	63.76	72.89	8.0E7		PatTrie-Seq-CompressNone-6000-rawIteration2	0.48	0.95	1.4	1.83	2.28	2.71	3.14	3.54
PatTrie-Seq-CompressNone-12000-rawIteration0	0.28	0.65	1.1	1.53	2.08	2.64	3.11	3.72		PatTrie-Seq-CompressNone-12000-rawIteration0	12.13	161.65	0.075	260	0.033	0.056		PatTrie-Seq-CompressNone-12000-rawIteration0	1.52	3.29	5.28	7.02	8.69	10.22	12.02	14		PatTrie-Seq-CompressNone-12000-rawIteration0	9.14	18.66	28.04	37.64	47.22	56.93	66.27	75.87	8.0E7		PatTrie-Seq-CompressNone-12000-rawIteration0	0.57	1.23	1.98	2.62	3.41	4.15	4.79	5.46
PatTrie-Seq-CompressNone-12000-rawIteration1	0.28	0.64	1.1	1.52	2.08	2.61	3.09	3.7		PatTrie-Seq-CompressNone-12000-rawIteration1	12.13	161.65	0.075	260	0.03	0.026		PatTrie-Seq-CompressNone-12000-rawIteration1	1.59	3.37	5.43	7.28	8.96	10.6	12.42	14.46		PatTrie-Seq-CompressNone-12000-rawIteration1	9.35	19.06	28.51	38.09	47.55	57.29	66.61	76.46	8.0E7		PatTrie-Seq-CompressNone-12000-rawIteration1	0.57	1.24	2	2.64	3.44	4.18	4.85	5.58
PatTrie-Seq-CompressNone-12000-rawIteration2	0.29	0.67	1.14	1.56	2.12	2.65	3.15	3.77		PatTrie-Seq-CompressNone-12000-rawIteration2	12.13	161.65	0.075	260	0.033	0.021		PatTrie-Seq-CompressNone-12000-rawIteration2	1.56	3.35	5.32	7.14	8.79	10.39	12.24	14.26		PatTrie-Seq-CompressNone-12000-rawIteration2	9.4	19.2	28.71	38.23	47.97	57.86	67.57	77.39	8.0E7		PatTrie-Seq-CompressNone-12000-rawIteration2	0.57	1.24	1.99	2.62	3.43	4.17	4.8	5.47
																																															
Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Seq-CompressSnappy-ArrayList-15000-avg	0.1	0.19	0.35	0.5	0.66	0.82	0.97	1.13		BTree-Seq-CompressSnappy-ArrayList-15000-avg	5.07	191.09	0.03	134	0.35	0.04		BTree-Seq-CompressSnappy-ArrayList-15000-avg	0.21	0.42	0.64	0.85	1.08	1.31	1.51	1.74		BTree-Seq-CompressSnappy-ArrayList-15000-avg	4.65	9.61	14.61	19.65	24.42	29.42	34.43	39.17	8.0E7		BTree-Seq-CompressSnappy-ArrayList-15000-avg	0.23	0.48	0.72	0.95	1.18	1.39	1.59	1.79
BTree-Seq-CompressSnappy-25000-avg	0.09	0.18	0.34	0.49	0.65	0.81	0.97	1.13		BTree-Seq-CompressSnappy-25000-avg	5.03	189.63	0.03	80	0.36	0.03		BTree-Seq-CompressSnappy-25000-avg	0.21	0.42	0.63	0.84	1.06	1.32	1.53	1.74		BTree-Seq-CompressSnappy-25000-avg	4.75	9.64	14.58	19.29	24.16	29.24	34.35	38.81	8.0E7		BTree-Seq-CompressSnappy-25000-avg	0.32	0.63	0.95	1.26	1.57	1.86	2.14	2.41
BTree-Seq-CompressGzip-ArrayList-15000-avg	0.09	0.19	0.45	0.73	0.99	1.27	1.54	1.8		BTree-Seq-CompressGzip-ArrayList-15000-avg	2.37	191.09	0.01	134	0.73	0.03		BTree-Seq-CompressGzip-ArrayList-15000-avg	0.36	0.7	1.03	1.37	1.7	2.08	2.43	2.77		BTree-Seq-CompressGzip-ArrayList-15000-avg	11.43	23.08	34.74	46.41	57.86	69.71	81.36	92.72	8.0E7		BTree-Seq-CompressGzip-ArrayList-15000-avg	0.34	0.69	1.02	1.35	1.69	1.94	2.17	2.41
BTree-Seq-CompressGzip-25000-avg	0.09	0.19	0.44	0.73	1.02	1.31	1.6	1.89		BTree-Seq-CompressGzip-25000-avg	2.33	189.63	0.01	80	0.74	0.01		BTree-Seq-CompressGzip-25000-avg	0.34	0.67	1.01	1.35	1.69	2.1	2.43	2.77		BTree-Seq-CompressGzip-25000-avg	11.27	22.85	34.3	46	57.48	69.21	80.92	92.14	8.0E7		BTree-Seq-CompressGzip-25000-avg	0.45	0.91	1.35	1.8	2.24	2.6	2.94	3.28
BTree-Seq-CompressNone-ArrayList-15000-avg	0.09	0.18	0.32	0.46	0.6	0.75	0.89	1.04		BTree-Seq-CompressNone-ArrayList-15000-avg	15.08	191.09	0.08	134	0.28	0.06		BTree-Seq-CompressNone-ArrayList-15000-avg	0.19	0.38	0.57	0.76	0.96	1.2	1.38	1.56		BTree-Seq-CompressNone-ArrayList-15000-avg	3.36	6.94	10.5	14.02	17.46	21.18	24.92	28.09	8.0E7		BTree-Seq-CompressNone-ArrayList-15000-avg	0.22	0.44	0.66	0.88	1.1	1.3	1.49	1.69
BTree-Seq-CompressNone-25000-avg	0.09	0.18	0.31	0.46	0.61	0.75	0.9	1.04		BTree-Seq-CompressNone-25000-avg	15.05	189.63	0.08	80	0.28	0.04		BTree-Seq-CompressNone-25000-avg	0.2	0.39	0.57	0.76	0.94	1.18	1.36	1.54		BTree-Seq-CompressNone-25000-avg	3.32	6.99	10.68	14.28	17.78	21.49	25.31	28.52	8.0E7		BTree-Seq-CompressNone-25000-avg	0.3	0.6	0.9	1.19	1.48	1.76	2.03	2.31
BTree-Word-CompressSnappy-ArrayList-100-avg	0.13	0.25	1.02	2.08	3.9	6.13	8.1	9.32		BTree-Word-CompressSnappy-ArrayList-100-avg	14.38	136.51	0.11	17127	0.17	0.83		BTree-Word-CompressSnappy-ArrayList-100-avg	1.05	1.49	1.91	2.28	2.69	3.12	3.47	3.82		BTree-Word-CompressSnappy-ArrayList-100-avg	2.01	3.62	5.38	7.02	8.56	10.64	12.22	13.81	1.60779811E8		BTree-Word-CompressSnappy-ArrayList-100-avg	0.54	0.89	1.28	1.77	2.17	2.66	3.16	3.7
BTree-Word-CompressSnappy-200-avg	0.09	0.19	0.58	1.16	2.29	3.69	4.74	5.48		BTree-Word-CompressSnappy-200-avg	10.23	127.05	0.08	8310	0.23	0.73		BTree-Word-CompressSnappy-200-avg	0.9	1.33	1.77	2.19	2.68	3.14	3.55	3.94		BTree-Word-CompressSnappy-200-avg	2.14	3.93	5.78	7.67	9.65	11.97	13.78	15.64	1.60779811E8		BTree-Word-CompressSnappy-200-avg	0.2	0.41	0.63	0.84	1.06	1.33	1.63	1.96
BTree-Word-CompressGzip-ArrayList-100-avg	0.11	0.23	0.99	2.29	4.48	7.25	9.88	11.64		BTree-Word-CompressGzip-ArrayList-100-avg	10.67	136.41	0.08	17127	0.31	0.61		BTree-Word-CompressGzip-ArrayList-100-avg	1.64	2.18	2.66	3.08	3.58	4.02	4.43	4.81		BTree-Word-CompressGzip-ArrayList-100-avg	2.95	5.07	7.47	9.77	11.98	14.97	17.09	19.27	1.60779811E8		BTree-Word-CompressGzip-ArrayList-100-avg	0.53	0.97	1.47	1.95	2.58	3.23	3.79	4.59
BTree-Word-CompressGzip-200-avg	0.09	0.19	0.65	1.46	2.98	5.24	6.94	7.91		BTree-Word-CompressGzip-200-avg	7.17	126.93	0.06	8310	0.38	0.49		BTree-Word-CompressGzip-200-avg	1.56	2.11	2.66	3.18	3.88	4.5	5.04	5.55		BTree-Word-CompressGzip-200-avg	3.57	6.28	9.25	12.25	15.36	19.21	22.18	24.94	1.60779811E8		BTree-Word-CompressGzip-200-avg	0.27	0.55	0.85	1.15	1.45	1.76	2.04	2.51
BTree-Word-CompressNone-ArrayList-100-avg	0.12	0.24	0.84	1.89	3.28	5.68	7.49	8.57		BTree-Word-CompressNone-ArrayList-100-avg	22.77	138.76	0.16	17127	0.08	0.95		BTree-Word-CompressNone-ArrayList-100-avg	0.96	1.4	1.79	2.17	2.59	2.99	3.35	3.69		BTree-Word-CompressNone-ArrayList-100-avg	1.87	3.34	4.95	6.39	7.81	9.7	11.09	12.53	1.60779811E8		BTree-Word-CompressNone-ArrayList-100-avg	0.52	0.85	1.72	2.07	2.44	2.91	3.43	3.96
BTree-Word-CompressNone-200-avg	0.1	0.2	0.52	1.1	2.03	3.52	4.32	4.95		BTree-Word-CompressNone-200-avg	17.59	129.83	0.14	8310	0.12	0.79		BTree-Word-CompressNone-200-avg	0.87	1.28	1.67	2.07	2.54	2.96	3.37	3.74		BTree-Word-CompressNone-200-avg	1.84	3.49	5.17	6.75	8.58	10.46	12.27	13.83	1.60779811E8		BTree-Word-CompressNone-200-avg	0.2	0.4	0.59	0.8	1	1.33	1.61	1.89
BTree-Rand-CompressSnappy-ArrayList-70-avg	0.22	0.5	0.81	1.13	8.41	27.75	57.07	94.82		BTree-Rand-CompressSnappy-ArrayList-70-avg	16.9	99.15	0.17	20989.33	0.1	0.71		BTree-Rand-CompressSnappy-ArrayList-70-avg	10.9	22.23	33.15	44.93	55.84	66.46	77.11	87.83		BTree-Rand-CompressSnappy-ArrayList-70-avg	10.82	21.98	33.15	44.17	55.1	66.07	77.12	88.31	1569037		BTree-Rand-CompressSnappy-ArrayList-70-avg	20.86	43.95	65.32	82.26	94.97	97.98	98.26	100.04
BTree-Rand-CompressSnappy-150-avg	0.16	0.39	0.64	0.91	4.84	21.93	52.22	87.24		BTree-Rand-CompressSnappy-150-avg	11.66	93.02	0.13	9569.33	0.13	0.65		BTree-Rand-CompressSnappy-150-avg	12.6	25.83	37.94	50.34	62.86	75.26	87.57	99.89		BTree-Rand-CompressSnappy-150-avg	12.29	24.75	37.26	50.03	62.26	74.68	87.01	99.59	1569037		BTree-Rand-CompressSnappy-150-avg	23.09	46.16	65.44	81.21	88.58	88.99	89.14	89.53
BTree-Rand-CompressGzip-ArrayList-70-avg	0.2	0.47	0.77	1.1	9.6	33.9	71.58	120		BTree-Rand-CompressGzip-ArrayList-70-avg	12.98	99.14	0.13	20989.33	0.17	0.6		BTree-Rand-CompressGzip-ArrayList-70-avg	20.14	38.75	57.77	77.53	96.71	124.58	144.17	163.68		BTree-Rand-CompressGzip-ArrayList-70-avg	20.14	41.07	62.64	82.88	142.64	163.19	182.41	201.73	1569037		BTree-Rand-CompressGzip-ArrayList-70-avg	26.95	55.84	87.03	108.09	120.92	126.03	127.15	127.7
BTree-Rand-CompressGzip-150-avg	0.17	0.39	0.65	0.93	6.15	30.49	73.55	123.34		BTree-Rand-CompressGzip-150-avg	8.32	92.92	0.09	9569.33	0.2	0.51		BTree-Rand-CompressGzip-150-avg	23.6	47.43	71.09	95	118.98	142.65	166.39	190		BTree-Rand-CompressGzip-150-avg	23.72	47.63	71.61	95.75	119.48	143.55	167.4	191.91	1569037		BTree-Rand-CompressGzip-150-avg	33.29	64.3	90.93	109.57	117.57	118.17	118.41	118.77
