Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Seq-CompressGzip-25000-rawIteration1	0.09	0.18	0.44	0.71	0.98	1.27	1.54	1.82		BTree-Seq-CompressGzip-25000-rawIteration1	2.33	189.63	0.012	80	0.747	0.017		BTree-Seq-CompressGzip-25000-rawIteration1	0.34	0.67	1.01	1.36	1.71	2.13	2.46	2.8		BTree-Seq-CompressGzip-25000-rawIteration1	11.18	22.73	33.85	45.76	57.09	68.77	80.43	91.82	8.0E7		BTree-Seq-CompressGzip-25000-rawIteration1	0.48	0.96	1.44	1.92	2.37	2.75	3.11	3.47
BTree-Seq-CompressGzip-25000-rawIteration2	0.09	0.21	0.46	0.77	1.07	1.38	1.71	2.01		BTree-Seq-CompressGzip-25000-rawIteration2	2.33	189.63	0.012	80	0.725	0.014		BTree-Seq-CompressGzip-25000-rawIteration2	0.33	0.67	1	1.34	1.68	2.08	2.41	2.75		BTree-Seq-CompressGzip-25000-rawIteration2	11.3	22.94	34.64	46.39	58.15	69.97	81.84	92.91	8.0E7		BTree-Seq-CompressGzip-25000-rawIteration2	0.43	0.87	1.29	1.74	2.17	2.53	2.85	3.18
BTree-Seq-CompressNone-ArrayList-15000-rawIteration0	0.09	0.18	0.32	0.45	0.59	0.75	0.89	1.02		BTree-Seq-CompressNone-ArrayList-15000-rawIteration0	15.08	191.09	0.079	134	0.3	0.045		BTree-Seq-CompressNone-ArrayList-15000-rawIteration0	0.22	0.42	0.63	0.83	1.05	1.3	1.48	1.67		BTree-Seq-CompressNone-ArrayList-15000-rawIteration0	3.4	6.99	10.23	13.97	17.4	21.09	24.86	28.02	8.0E7		BTree-Seq-CompressNone-ArrayList-15000-rawIteration0	0.22	0.44	0.66	0.88	1.1	1.3	1.49	1.68
BTree-Seq-CompressNone-ArrayList-15000-rawIteration1	0.09	0.18	0.31	0.45	0.59	0.73	0.88	1.04		BTree-Seq-CompressNone-ArrayList-15000-rawIteration1	15.08	191.09	0.079	134	0.274	0.062		BTree-Seq-CompressNone-ArrayList-15000-rawIteration1	0.18	0.36	0.54	0.72	0.91	1.14	1.32	1.49		BTree-Seq-CompressNone-ArrayList-15000-rawIteration1	3.34	6.91	10.52	13.85	17.27	21.02	24.75	27.89	8.0E7		BTree-Seq-CompressNone-ArrayList-15000-rawIteration1	0.22	0.44	0.66	0.89	1.1	1.3	1.5	1.69
BTree-Seq-CompressNone-ArrayList-15000-rawIteration2	0.1	0.19	0.33	0.47	0.61	0.76	0.91	1.05		BTree-Seq-CompressNone-ArrayList-15000-rawIteration2	15.08	191.09	0.079	134	0.276	0.069		BTree-Seq-CompressNone-ArrayList-15000-rawIteration2	0.18	0.37	0.55	0.73	0.92	1.16	1.34	1.52		BTree-Seq-CompressNone-ArrayList-15000-rawIteration2	3.34	6.92	10.75	14.24	17.72	21.44	25.15	28.35	8.0E7		BTree-Seq-CompressNone-ArrayList-15000-rawIteration2	0.23	0.45	0.67	0.88	1.1	1.3	1.49	1.69
BTree-Seq-CompressNone-25000-rawIteration0	0.09	0.18	0.31	0.45	0.62	0.76	0.9	1.04		BTree-Seq-CompressNone-25000-rawIteration0	15.05	189.63	0.079	80	0.289	0.031		BTree-Seq-CompressNone-25000-rawIteration0	0.18	0.4	0.58	0.77	0.96	1.19	1.37	1.55		BTree-Seq-CompressNone-25000-rawIteration0	3.3	6.9	10.53	14	17.64	21.4	25.27	28.47	8.0E7		BTree-Seq-CompressNone-25000-rawIteration0	0.33	0.63	0.93	1.22	1.51	1.8	2.07	2.34
BTree-Seq-CompressNone-25000-rawIteration1	0.09	0.18	0.32	0.47	0.61	0.75	0.9	1.04		BTree-Seq-CompressNone-25000-rawIteration1	15.05	189.63	0.079	80	0.276	0.039		BTree-Seq-CompressNone-25000-rawIteration1	0.23	0.41	0.59	0.77	0.95	1.2	1.38	1.56		BTree-Seq-CompressNone-25000-rawIteration1	3.34	7.09	10.88	14.83	18.28	21.95	25.83	29.08	8.0E7		BTree-Seq-CompressNone-25000-rawIteration1	0.29	0.59	0.88	1.17	1.46	1.73	2.01	2.28
BTree-Seq-CompressNone-25000-rawIteration2	0.09	0.18	0.31	0.46	0.61	0.75	0.89	1.03		BTree-Seq-CompressNone-25000-rawIteration2	15.05	189.63	0.079	80	0.279	0.041		BTree-Seq-CompressNone-25000-rawIteration2	0.18	0.36	0.54	0.73	0.91	1.14	1.32	1.51		BTree-Seq-CompressNone-25000-rawIteration2	3.31	6.98	10.62	14.02	17.43	21.13	24.83	28	8.0E7		BTree-Seq-CompressNone-25000-rawIteration2	0.29	0.59	0.88	1.18	1.47	1.75	2.01	2.3
BTree-Word-CompressSnappy-ArrayList-100-rawIteration0	0.14	0.26	1.01	2.11	3.87	5.88	8.37	9.46		BTree-Word-CompressSnappy-ArrayList-100-rawIteration0	14.38	136.51	0.105	17127	0.18	0.751		BTree-Word-CompressSnappy-ArrayList-100-rawIteration0	1.04	1.49	1.93	2.24	2.61	3.1	3.43	3.79		BTree-Word-CompressSnappy-ArrayList-100-rawIteration0	2.01	3.74	5.3	6.96	8.49	10.69	12.37	13.91	1.60779811E8		BTree-Word-CompressSnappy-ArrayList-100-rawIteration0	0.9	1.25	1.66	2.04	2.45	2.95	3.47	4.02
BTree-Word-CompressSnappy-ArrayList-100-rawIteration1	0.14	0.26	1.08	2.06	3.94	6.23	7.92	9.09		BTree-Word-CompressSnappy-ArrayList-100-rawIteration1	14.38	136.51	0.105	17127	0.176	0.893		BTree-Word-CompressSnappy-ArrayList-100-rawIteration1	1.03	1.47	1.86	2.24	2.68	3.1	3.41	3.74		BTree-Word-CompressSnappy-ArrayList-100-rawIteration1	1.97	3.51	5.19	6.72	8.26	10.26	11.77	13.47	1.60779811E8		BTree-Word-CompressSnappy-ArrayList-100-rawIteration1	0.36	0.71	1.09	1.49	1.88	2.37	2.87	3.4
