Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000	
SkipList-Seq-Treap-3000-rawIteration1	0.12	0.26	0.41	0.62	0.85	1.09	1.38	1.56		SkipList-Seq-Treap-3000-rawIteration1	5.14	144.17	0.036	348.0	0.329	0.065		SkipList-Seq-Treap-3000-rawIteration1	0.21	0.43	0.64	0.84	1.08	1.29	1.5	1.72		SkipList-Seq-Treap-3000-rawIteration1	5.34	11.15	16.66	22.43	27.8	33.44	38.79	44.63	8.0E7		SkipList-Seq-Treap-3000-rawIteration1	0.14	0.25	0.38	0.51	0.64	0.76	0.89	0.99	
SkipList-Seq-Treap-3000-rawIteration2	0.12	0.24	0.38	0.58	0.78	1.03	1.21	1.41		SkipList-Seq-Treap-3000-rawIteration2	5.15	144.18	0.036	369.0	0.329	0.084		SkipList-Seq-Treap-3000-rawIteration2	0.21	0.42	0.63	0.87	1.08	1.29	1.51	1.78		SkipList-Seq-Treap-3000-rawIteration2	5.45	11.01	16.51	22.21	28.02	33.21	39.08	45.13	8.0E7		SkipList-Seq-Treap-3000-rawIteration2	0.13	0.25	0.38	0.51	0.64	0.77	0.9	1.0	
SkipList-Seq-Treap-6000-rawIteration0	0.12	0.25	0.39	0.59	0.79	1.03	1.22	1.4		SkipList-Seq-Treap-6000-rawIteration0	5.06	144.08	0.035	164.0	0.328	0.031		SkipList-Seq-Treap-6000-rawIteration0	0.21	0.43	0.64	0.87	1.08	1.29	1.49	1.73		SkipList-Seq-Treap-6000-rawIteration0	5.22	10.66	16.04	21.75	27.53	32.55	38.28	43.55	8.0E7		SkipList-Seq-Treap-6000-rawIteration0	0.13	0.25	0.38	0.5	0.63	0.75	0.88	0.98	
SkipList-Seq-Treap-6000-rawIteration1	0.12	0.25	0.39	0.58	0.78	0.97	1.23	1.41		SkipList-Seq-Treap-6000-rawIteration1	5.06	144.09	0.035	177.0	0.324	0.039		SkipList-Seq-Treap-6000-rawIteration1	0.22	0.42	0.63	0.85	1.07	1.29	1.5	1.71		SkipList-Seq-Treap-6000-rawIteration1	5.16	10.58	15.95	21.78	27.09	32.57	37.8	43.65	8.0E7		SkipList-Seq-Treap-6000-rawIteration1	0.13	0.26	0.37	0.5	0.62	0.75	0.87	0.97	
SkipList-Seq-Treap-6000-rawIteration2	0.12	0.25	0.39	0.58	0.78	1.04	1.23	1.41		SkipList-Seq-Treap-6000-rawIteration2	5.06	144.08	0.035	163.0	0.329	0.033		SkipList-Seq-Treap-6000-rawIteration2	0.21	0.42	0.63	0.86	1.07	1.28	1.48	1.72		SkipList-Seq-Treap-6000-rawIteration2	5.19	10.63	16.0	21.62	27.31	32.37	38.16	43.53	8.0E7		SkipList-Seq-Treap-6000-rawIteration2	0.13	0.26	0.38	0.5	0.62	0.75	0.88	0.97	
SkipList-Seq-Treap-12000-rawIteration0	0.12	0.25	0.4	0.58	0.77	1.04	1.23	1.45		SkipList-Seq-Treap-12000-rawIteration0	5.02	144.04	0.035	73.0	0.324	0.017		SkipList-Seq-Treap-12000-rawIteration0	0.21	0.43	0.65	0.89	1.09	1.3	1.51	1.75		SkipList-Seq-Treap-12000-rawIteration0	5.18	10.57	15.9	21.51	26.74	32.21	37.44	43.21	8.0E7		SkipList-Seq-Treap-12000-rawIteration0	0.13	0.25	0.39	0.51	0.63	0.75	0.89	1.01	
SkipList-Seq-Treap-12000-rawIteration1	0.12	0.25	0.39	0.58	0.77	1.02	1.21	1.39		SkipList-Seq-Treap-12000-rawIteration1	5.03	144.04	0.035	80.0	0.34	0.019		SkipList-Seq-Treap-12000-rawIteration1	0.22	0.43	0.65	0.89	1.1	1.32	1.53	1.77		SkipList-Seq-Treap-12000-rawIteration1	5.2	10.61	15.99	21.57	26.73	32.2	37.94	43.34	8.0E7		SkipList-Seq-Treap-12000-rawIteration1	0.14	0.26	0.38	0.51	0.62	0.74	0.87	0.99	
SkipList-Seq-Treap-12000-rawIteration2	0.12	0.25	0.39	0.59	0.78	1.02	1.21	1.39		SkipList-Seq-Treap-12000-rawIteration2	5.03	144.04	0.035	91.0	0.334	0.026		SkipList-Seq-Treap-12000-rawIteration2	0.22	0.43	0.64	0.87	1.08	1.3	1.52	1.75		SkipList-Seq-Treap-12000-rawIteration2	5.14	10.5	16.08	22.29	27.59	33.12	38.42	44.3	8.0E7		SkipList-Seq-Treap-12000-rawIteration2	0.14	0.27	0.38	0.51	0.62	0.76	0.87	0.98	
SkipList-Seq-RBT-3000-rawIteration0	0.33	0.51	0.73	0.98	1.24	1.56	1.82	2.08		SkipList-Seq-RBT-3000-rawIteration0	5.14	152.16	0.034	337.0	0.234	0.042		SkipList-Seq-RBT-3000-rawIteration0	0.23	0.43	0.64	0.88	1.09	1.31	1.51	1.75		SkipList-Seq-RBT-3000-rawIteration0	5.39	10.96	16.51	22.21	27.97	33.59	38.99	44.93	8.0E7		SkipList-Seq-RBT-3000-rawIteration0	0.22	0.36	0.5	0.64	0.78	0.92	1.06	1.18	
SkipList-Seq-RBT-3000-rawIteration1	0.17	0.35	0.57	0.85	1.12	1.44	1.69	1.95		SkipList-Seq-RBT-3000-rawIteration1	5.13	152.15	0.034	321.0	0.241	0.061		SkipList-Seq-RBT-3000-rawIteration1	0.21	0.41	0.62	0.85	1.05	1.26	1.47	1.7		SkipList-Seq-RBT-3000-rawIteration1	5.29	10.78	16.24	21.92	27.67	33.25	38.62	44.57	8.0E7		SkipList-Seq-RBT-3000-rawIteration1	0.14	0.28	0.42	0.55	0.69	0.83	0.97	1.09	
