Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000	
SkipList-Word-Treap-25-rawIteration2	0.23	0.46	1.65	4.38	10.12	13.61	19.75	27.72		SkipList-Word-Treap-25-rawIteration2	22.56	168.5	0.134	42101.0	0.092	0.904		SkipList-Word-Treap-25-rawIteration2	1.33	1.96	2.62	3.28	3.97	4.58	5.16	5.78		SkipList-Word-Treap-25-rawIteration2	4.81	8.16	11.97	15.94	19.8	24.64	28.52	32.45	1.60779811E8		SkipList-Word-Treap-25-rawIteration2	1.32	2.63	3.96	7.11	9.54	12.04	13.04	14.05	
SkipList-Word-Treap-50-rawIteration0	0.19	0.4	0.89	2.15	5.33	8.43	12.64	14.1		SkipList-Word-Treap-50-rawIteration0	14.39	157.76	0.091	20626.0	0.153	0.665		SkipList-Word-Treap-50-rawIteration0	1.17	1.9	2.67	3.44	4.31	5.06	5.73	6.5		SkipList-Word-Treap-50-rawIteration0	3.76	6.91	10.41	14.01	17.36	21.24	24.68	28.25	1.60779811E8		SkipList-Word-Treap-50-rawIteration0	0.71	1.49	2.84	3.72	4.75	5.62	6.16	6.92	
SkipList-Word-Treap-50-rawIteration1	0.18	0.38	0.96	2.16	5.34	7.52	11.67	13.0		SkipList-Word-Treap-50-rawIteration1	14.27	157.72	0.09	20308.0	0.158	0.632		SkipList-Word-Treap-50-rawIteration1	1.19	1.91	2.67	3.41	4.28	5.02	5.73	6.44		SkipList-Word-Treap-50-rawIteration1	3.58	6.55	9.88	13.29	16.54	20.28	23.48	26.76	1.60779811E8		SkipList-Word-Treap-50-rawIteration1	0.74	1.65	2.59	3.3	5.42	6.24	6.76	7.3	
SkipList-Word-Treap-50-rawIteration2	0.19	0.54	1.3	2.4	4.98	8.1	12.54	13.87		SkipList-Word-Treap-50-rawIteration2	14.47	158.17	0.092	20849.0	0.15	0.652		SkipList-Word-Treap-50-rawIteration2	1.2	1.9	2.65	3.39	4.23	4.98	5.61	6.35		SkipList-Word-Treap-50-rawIteration2	3.7	6.74	10.11	13.59	16.9	20.76	24.04	27.28	1.60779811E8		SkipList-Word-Treap-50-rawIteration2	0.73	1.45	2.6	3.46	4.45	5.95	6.51	7.03	
SkipList-Word-Treap-100-rawIteration0	0.15	0.34	0.72	1.51	3.09	4.81	7.31	8.99		SkipList-Word-Treap-100-rawIteration0	10.24	149.65	0.068	10037.0	0.177	0.535		SkipList-Word-Treap-100-rawIteration0	1.88	3.06	4.23	5.38	6.81	8.01	9.28	10.49		SkipList-Word-Treap-100-rawIteration0	3.81	7.25	10.89	14.87	18.48	22.77	26.23	29.75	1.60779811E8		SkipList-Word-Treap-100-rawIteration0	0.43	0.9	1.35	1.79	2.72	3.27	3.6	3.92	
SkipList-Word-Treap-100-rawIteration1	0.14	0.29	0.55	1.27	2.96	4.56	7.48	9.13		SkipList-Word-Treap-100-rawIteration1	10.19	149.38	0.068	9921.0	0.185	0.556		SkipList-Word-Treap-100-rawIteration1	1.46	2.57	3.71	4.84	6.16	7.46	8.49	9.95		SkipList-Word-Treap-100-rawIteration1	3.8	7.27	10.9	14.87	18.5	22.82	26.33	29.84	1.60779811E8		SkipList-Word-Treap-100-rawIteration1	0.4	0.8	1.24	1.66	2.46	3.0	3.3	3.82	
SkipList-Word-Treap-100-rawIteration2	0.15	0.31	0.78	1.93	3.44	5.03	7.43	8.35		SkipList-Word-Treap-100-rawIteration2	10.29	149.39	0.069	10153.0	0.205	0.672		SkipList-Word-Treap-100-rawIteration2	1.43	2.5	3.61	4.73	6.03	7.29	8.34	9.89		SkipList-Word-Treap-100-rawIteration2	3.8	7.26	10.91	14.91	18.56	22.88	26.4	29.93	1.60779811E8		SkipList-Word-Treap-100-rawIteration2	0.44	0.89	1.32	2.01	2.58	3.25	3.74	4.06	
SkipList-Word-RBT-25-rawIteration0	0.32	0.81	2.77	4.71	10.25	15.14	21.41	23.57		SkipList-Word-RBT-25-rawIteration0	23.38	179.06	0.131	41445.0	0.112	0.818		SkipList-Word-RBT-25-rawIteration0	1.26	1.96	2.69	3.29	4.02	4.68	5.28	5.89		SkipList-Word-RBT-25-rawIteration0	5.1	8.97	13.17	17.87	22.15	27.34	31.42	35.4	1.60779811E8		SkipList-Word-RBT-25-rawIteration0	1.34	3.34	4.73	6.19	9.14	11.46	12.47	13.79	
SkipList-Word-RBT-25-rawIteration1	0.24	0.8	2.22	4.56	9.02	13.29	19.33	21.51		SkipList-Word-RBT-25-rawIteration1	23.49	178.51	0.132	41717.0	0.127	0.797		SkipList-Word-RBT-25-rawIteration1	1.31	1.99	2.68	3.35	4.07	4.68	5.27	5.91		SkipList-Word-RBT-25-rawIteration1	5.1	8.95	13.12	17.51	21.62	26.86	30.87	34.82	1.60779811E8		SkipList-Word-RBT-25-rawIteration1	1.24	2.56	4.12	5.81	7.97	10.3	11.27	12.32	
SkipList-Word-RBT-25-rawIteration2	0.23	0.5	1.87	4.53	9.07	13.59	17.73	22.25		SkipList-Word-RBT-25-rawIteration2	23.43	179.09	0.131	41564.0	0.129	0.725		SkipList-Word-RBT-25-rawIteration2	1.24	1.94	2.65	3.35	4.07	4.7	5.27	5.91		SkipList-Word-RBT-25-rawIteration2	5.12	8.94	13.12	17.52	21.62	26.59	30.61	34.59	1.60779811E8		SkipList-Word-RBT-25-rawIteration2	1.22	2.58	4.05	5.35	7.69	9.13	10.25	11.5	
SkipList-Word-RBT-50-rawIteration0	0.19	0.43	1.18	2.89	5.36	9.02	11.97	14.34		SkipList-Word-RBT-50-rawIteration0	14.93	167.35	0.089	20667.0	0.156	0.66		SkipList-Word-RBT-50-rawIteration0	1.18	1.97	2.79	3.56	4.76	5.54	6.26	7.0		SkipList-Word-RBT-50-rawIteration0	4.0	7.28	10.94	14.84	18.74	23.4	26.89	30.35	1.60779811E8		SkipList-Word-RBT-50-rawIteration0	0.75	2.65	3.38	4.13	5.27	6.11	7.58	8.13	
SkipList-Word-RBT-50-rawIteration1	0.18	0.4	0.96	2.44	5.82	9.33	12.5	15.14		SkipList-Word-RBT-50-rawIteration1	14.82	166.94	0.089	20413.0	0.138	0.654		SkipList-Word-RBT-50-rawIteration1	1.18	1.96	2.85	3.61	4.5	5.29	6.01	6.77		SkipList-Word-RBT-50-rawIteration1	4.08	7.2	10.86	14.62	18.46	22.51	25.97	29.57	1.60779811E8		SkipList-Word-RBT-50-rawIteration1	0.72	1.43	3.32	4.04	5.05	6.06	6.59	7.63	
SkipList-Word-RBT-50-rawIteration2	0.19	0.39	1.2	2.74	6.54	8.95	13.06	14.59		SkipList-Word-RBT-50-rawIteration2	14.82	166.95	0.089	20405.0	0.139	0.77		SkipList-Word-RBT-50-rawIteration2	1.2	1.97	2.81	3.57	4.49	5.26	5.99	6.75		SkipList-Word-RBT-50-rawIteration2	4.17	7.37	11.09	15.15	18.81	22.98	26.49	30.03	1.60779811E8		SkipList-Word-RBT-50-rawIteration2	1.18	2.38	3.21	3.93	4.93	6.18	6.7	8.08	
SkipList-Word-RBT-100-rawIteration0	0.17	0.35	0.83	1.59	3.26	5.31	7.58	8.66		SkipList-Word-RBT-100-rawIteration0	10.55	159.12	0.066	10180.0	0.212	0.542		SkipList-Word-RBT-100-rawIteration0	1.52	2.7	3.9	5.08	6.52	7.96	9.06	10.28		SkipList-Word-RBT-100-rawIteration0	4.12	8.1	12.01	16.27	20.68	25.04	29.16	32.99	1.60779811E8		SkipList-Word-RBT-100-rawIteration0	0.41	0.87	1.31	1.78	2.7	3.41	3.86	4.17	
SkipList-Word-RBT-100-rawIteration1	0.18	0.36	0.82	1.54	3.62	5.18	7.42	8.45		SkipList-Word-RBT-100-rawIteration1	10.48	158.66	0.066	10004.0	0.226	0.507		SkipList-Word-RBT-100-rawIteration1	1.53	2.71	3.93	5.17	6.77	7.99	9.42	10.67		SkipList-Word-RBT-100-rawIteration1	4.12	8.12	12.06	16.31	20.19	24.81	28.53	32.64	1.60779811E8		SkipList-Word-RBT-100-rawIteration1	0.49	0.91	1.35	1.79	2.5	3.12	3.42	3.75	
SkipList-Word-RBT-100-rawIteration2	0.17	0.35	0.72	1.56	3.15	4.77	7.64	9.37		SkipList-Word-RBT-100-rawIteration2	10.57	158.66	0.067	10219.0	0.215	0.539		SkipList-Word-RBT-100-rawIteration2	1.53	2.72	3.92	5.1	6.51	7.89	9.31	10.53		SkipList-Word-RBT-100-rawIteration2	4.15	7.91	12.16	16.45	20.43	25.09	28.91	33.03	1.60779811E8		SkipList-Word-RBT-100-rawIteration2	0.44	0.89	1.33	2.07	2.73	3.4	3.72	4.06	
SkipList-Word-LinkedLinear-25-rawIteration0	0.43	0.88	1.83	4.81	10.31	14.77	20.42	24.74		SkipList-Word-LinkedLinear-25-rawIteration0	25.22	150.84	0.167	41646.0	0.102	0.724		SkipList-Word-LinkedLinear-25-rawIteration0	1.53	2.38	3.2	3.85	4.6	5.34	6.0	6.68		SkipList-Word-LinkedLinear-25-rawIteration0	4.03	6.81	9.9	13.06	16.14	19.92	23.02	26.01	1.60779811E8		SkipList-Word-LinkedLinear-25-rawIteration0	1.4	2.96	5.58	6.97	10.01	12.41	13.96	15.89	
SkipList-Word-LinkedLinear-25-rawIteration1	0.41	0.89	2.22	4.46	10.73	15.33	19.05	26.54		SkipList-Word-LinkedLinear-25-rawIteration1	25.2	150.78	0.167	41604.0	0.094	0.695		SkipList-Word-LinkedLinear-25-rawIteration1	1.56	2.45	3.32	4.09	4.87	5.57	6.26	7.0		SkipList-Word-LinkedLinear-25-rawIteration1	4.08	7.02	10.23	13.51	16.51	20.55	23.7	27.16	1.60779811E8		SkipList-Word-LinkedLinear-25-rawIteration1	1.31	2.66	4.58	5.95	8.14	10.02	11.52	12.57	
SkipList-Word-LinkedLinear-25-rawIteration2	0.41	0.84	2.12	4.43	9.78	14.66	20.61	22.99		SkipList-Word-LinkedLinear-25-rawIteration2	25.09	150.35	0.167	41363.0	0.113	0.802		SkipList-Word-LinkedLinear-25-rawIteration2	1.53	2.33	3.14	3.9	4.61	5.28	5.9	6.59		SkipList-Word-LinkedLinear-25-rawIteration2	4.01	6.94	10.1	13.36	16.37	20.24	23.6	26.81	1.60779811E8		SkipList-Word-LinkedLinear-25-rawIteration2	1.4	2.77	4.95	7.16	8.94	10.06	11.75	13.24	
SkipList-Word-LinkedLinear-50-rawIteration0	0.51	1.1	1.86	3.72	7.05	10.96	15.24	17.09		SkipList-Word-LinkedLinear-50-rawIteration0	15.66	140.11	0.112	20413.0	0.119	0.545		SkipList-Word-LinkedLinear-50-rawIteration0	1.75	2.99	4.28	5.5	6.6	7.63	8.56	9.56		SkipList-Word-LinkedLinear-50-rawIteration0	3.31	6.08	8.78	11.78	14.73	18.17	20.86	23.67	1.60779811E8		SkipList-Word-LinkedLinear-50-rawIteration0	0.96	1.91	3.29	4.42	5.53	6.45	7.05	7.73	
SkipList-Word-LinkedLinear-50-rawIteration1	0.56	1.16	1.94	3.72	8.05	11.66	14.67	17.47		SkipList-Word-LinkedLinear-50-rawIteration1	15.62	140.14	0.111	20325.0	0.11	0.568		SkipList-Word-LinkedLinear-50-rawIteration1	1.62	2.76	4.0	5.02	6.06	7.05	8.01	8.97		SkipList-Word-LinkedLinear-50-rawIteration1	3.33	6.02	8.91	11.75	14.65	18.07	20.96	23.58	1.60779811E8		SkipList-Word-LinkedLinear-50-rawIteration1	1.47	2.38	3.41	4.44	5.54	6.49	7.4	8.11	
SkipList-Word-LinkedLinear-50-rawIteration2	0.53	1.14	1.97	3.57	6.88	10.59	14.48	17.17		SkipList-Word-LinkedLinear-50-rawIteration2	15.7	140.43	0.112	20499.0	0.119	0.566		SkipList-Word-LinkedLinear-50-rawIteration2	1.5	2.53	3.6	4.61	5.59	6.48	7.31	8.22		SkipList-Word-LinkedLinear-50-rawIteration2	3.26	5.94	8.81	11.58	14.44	17.79	20.41	23.2	1.60779811E8		SkipList-Word-LinkedLinear-50-rawIteration2	0.93	2.33	3.32	4.18	5.14	6.01	6.6	7.44	
SkipList-Word-LinkedLinear-100-rawIteration0	0.73	1.59	2.65	4.04	6.3	8.55	12.01	13.82		SkipList-Word-LinkedLinear-100-rawIteration0	10.87	133.63	0.081	9988.0	0.128	0.356		SkipList-Word-LinkedLinear-100-rawIteration0	2.01	3.66	5.35	6.71	8.29	10.1	11.42	12.83		SkipList-Word-LinkedLinear-100-rawIteration0	3.63	6.68	10.1	13.51	16.87	20.54	23.74	26.98	1.60779811E8		SkipList-Word-LinkedLinear-100-rawIteration0	0.81	1.59	2.6	3.57	4.35	5.3	5.84	6.45	
SkipList-Word-LinkedLinear-100-rawIteration1	0.7	1.51	2.37	3.8	6.25	8.5	12.29	14.59		SkipList-Word-LinkedLinear-100-rawIteration1	10.92	133.94	0.082	10080.0	0.113	0.388		SkipList-Word-LinkedLinear-100-rawIteration1	2.15	3.89	5.53	7.01	8.71	10.24	11.7	13.37		SkipList-Word-LinkedLinear-100-rawIteration1	3.45	6.43	9.8	13.32	16.62	20.3	23.5	26.74	1.60779811E8		SkipList-Word-LinkedLinear-100-rawIteration1	0.83	1.63	2.49	3.4	4.3	5.1	5.58	6.19	
SkipList-Word-LinkedLinear-100-rawIteration2	0.69	1.47	2.55	4.1	6.43	8.88	12.32	14.47		SkipList-Word-LinkedLinear-100-rawIteration2	10.97	133.68	0.082	10192.0	0.121	0.362		SkipList-Word-LinkedLinear-100-rawIteration2	2.19	3.91	5.42	6.84	8.48	9.96	11.69	13.21		SkipList-Word-LinkedLinear-100-rawIteration2	3.5	6.47	10.01	13.42	16.77	20.5	23.72	26.96	1.60779811E8		SkipList-Word-LinkedLinear-100-rawIteration2	0.72	1.75	2.71	3.59	4.43	5.32	5.79	6.36	
SkipList-Rand-ArrayList-25-rawIteration0	0.4	0.83	1.35	3.65	15.19	41.69	81.11	134.4		SkipList-Rand-ArrayList-25-rawIteration0	26.74	118.5	0.226	42008.0	0.071	0.835		SkipList-Rand-ArrayList-25-rawIteration0	10.8	22.09	32.87	43.11	53.52	64.12	74.56	85.37		SkipList-Rand-ArrayList-25-rawIteration0	6.41	12.81	19.24	25.62	31.86	38.3	44.71	51.12	1569299.0		SkipList-Rand-ArrayList-25-rawIteration0	38.44	76.29	98.54	126.02	147.14	149.35	154.34	155.44	
SkipList-Rand-ArrayList-25-rawIteration1	0.36	0.8	1.28	3.44	14.78	44.09	79.96	129.37		SkipList-Rand-ArrayList-25-rawIteration1	26.54	118.05	0.225	41548.0	0.071	0.8		SkipList-Rand-ArrayList-25-rawIteration1	10.67	21.39	32.45	42.73	53.16	63.54	73.95	84.36		SkipList-Rand-ArrayList-25-rawIteration1	6.15	12.55	18.93	25.15	31.55	38.05	44.49	50.74	1568509.0		SkipList-Rand-ArrayList-25-rawIteration1	31.86	60.28	82.1	100.17	111.79	126.09	131.46	132.54	
SkipList-Rand-ArrayList-25-rawIteration2	0.35	0.78	1.26	3.38	14.79	46.13	88.28	139.62		SkipList-Rand-ArrayList-25-rawIteration2	26.75	118.38	0.226	42007.0	0.068	0.791		SkipList-Rand-ArrayList-25-rawIteration2	10.78	21.7	32.34	43.48	54.27	64.7	75.1	85.54		SkipList-Rand-ArrayList-25-rawIteration2	6.16	12.54	18.89	25.16	31.56	37.94	44.39	50.61	1569303.0		SkipList-Rand-ArrayList-25-rawIteration2	22.69	63.31	99.42	127.35	138.8	141.39	142.64	144.15	
SkipList-Rand-ArrayList-50-rawIteration0	0.28	0.67	1.11	1.73	7.97	26.87	55.88	93.26		SkipList-Rand-ArrayList-50-rawIteration0	16.82	104.72	0.161	20504.0	0.101	0.705		SkipList-Rand-ArrayList-50-rawIteration0	10.9	22.58	35.04	45.99	56.7	68.0	79.11	90.08		SkipList-Rand-ArrayList-50-rawIteration0	5.78	11.9	18.04	24.21	30.37	36.53	42.72	48.66	1569299.0		SkipList-Rand-ArrayList-50-rawIteration0	23.59	45.51	65.94	81.01	87.54	88.52	89.2	90.37	
SkipList-Rand-ArrayList-50-rawIteration1	0.3	0.69	1.11	1.66	8.04	28.05	61.29	94.55		SkipList-Rand-ArrayList-50-rawIteration1	16.82	105.18	0.16	20511.0	0.098	0.666		SkipList-Rand-ArrayList-50-rawIteration1	11.57	23.42	34.96	45.96	56.78	67.85	78.84	90.06		SkipList-Rand-ArrayList-50-rawIteration1	5.8	11.95	18.08	24.22	30.41	36.58	42.77	48.72	1568509.0		SkipList-Rand-ArrayList-50-rawIteration1	20.28	41.78	63.02	76.89	85.82	86.64	87.37	88.05	
SkipList-Rand-ArrayList-50-rawIteration2	0.27	0.62	1.04	1.61	8.59	26.47	53.7	85.25		SkipList-Rand-ArrayList-50-rawIteration2	16.73	105.18	0.159	20318.0	0.109	0.668		SkipList-Rand-ArrayList-50-rawIteration2	10.66	22.96	34.08	45.16	55.96	66.99	78.01	89.06		SkipList-Rand-ArrayList-50-rawIteration2	5.79	11.96	18.1	24.27	30.46	36.58	42.76	48.69	1569303.0		SkipList-Rand-ArrayList-50-rawIteration2	22.73	48.9	66.1	80.69	87.76	88.68	89.39	90.08	
SkipList-Rand-ArrayList-100-rawIteration0	0.25	0.6	0.99	1.4	5.0	18.78	47.5	83.42		SkipList-Rand-ArrayList-100-rawIteration0	12.01	98.08	0.122	10211.0	0.141	0.608		SkipList-Rand-ArrayList-100-rawIteration0	12.36	25.43	38.47	51.52	64.78	77.89	90.92	104.05		SkipList-Rand-ArrayList-100-rawIteration0	6.59	13.69	20.61	27.56	34.65	41.44	48.65	55.44	1569299.0		SkipList-Rand-ArrayList-100-rawIteration0	23.15	45.87	65.99	77.08	81.64	82.19	82.76	83.26	
SkipList-Rand-ArrayList-100-rawIteration1	0.25	0.6	0.95	1.33	5.73	19.58	44.76	79.2		SkipList-Rand-ArrayList-100-rawIteration1	12.0	97.54	0.123	10181.0	0.15	0.581		SkipList-Rand-ArrayList-100-rawIteration1	12.08	25.09	38.35	51.34	63.98	76.99	90.31	103.05		SkipList-Rand-ArrayList-100-rawIteration1	6.64	13.41	20.51	27.23	34.32	41.11	48.16	55.28	1568509.0		SkipList-Rand-ArrayList-100-rawIteration1	21.93	45.97	64.93	77.28	80.94	82.88	83.38	83.86	
SkipList-Rand-ArrayList-100-rawIteration2	0.29	0.65	1.05	1.47	5.6	20.24	49.47	86.35		SkipList-Rand-ArrayList-100-rawIteration2	11.96	97.81	0.122	10101.0	0.136	0.597		SkipList-Rand-ArrayList-100-rawIteration2	12.75	26.05	39.38	52.47	65.18	78.58	92.14	105.22		SkipList-Rand-ArrayList-100-rawIteration2	6.65	13.69	20.47	27.88	34.85	41.99	48.87	55.99	1569303.0		SkipList-Rand-ArrayList-100-rawIteration2	21.68	43.38	62.5	76.33	81.01	81.64	82.19	82.61	
SkipList-Rand-Treap-25-rawIteration0	0.45	1.02	3.55	18.95	48.83	100.24	160.27	226.98		SkipList-Rand-Treap-25-rawIteration0	23.02	180.54	0.128	41635.0	0.068	0.767		SkipList-Rand-Treap-25-rawIteration0	14.14	30.49	44.24	58.35	72.34	86.46	100.35	114.24		SkipList-Rand-Treap-25-rawIteration0	7.98	16.31	24.71	32.83	40.96	49.39	57.51	65.76	1569299.0		SkipList-Rand-Treap-25-rawIteration0	38.99	89.86	145.84	187.07	230.62	280.8	296.17	301.13	
SkipList-Rand-Treap-25-rawIteration1	0.45	1.02	3.47	19.37	48.42	95.02	143.7	204.18		SkipList-Rand-Treap-25-rawIteration1	23.07	181.27	0.127	41763.0	0.075	0.741		SkipList-Rand-Treap-25-rawIteration1	13.77	30.31	44.17	57.96	71.76	85.77	99.58	113.38		SkipList-Rand-Treap-25-rawIteration1	7.94	16.08	24.47	32.56	40.67	48.79	57.15	65.29	1568509.0		SkipList-Rand-Treap-25-rawIteration1	34.78	86.57	126.81	161.33	198.51	226.04	237.96	241.81	
SkipList-Rand-Treap-25-rawIteration2	0.44	1.02	3.92	19.72	55.93	104.36	162.63	221.16		SkipList-Rand-Treap-25-rawIteration2	22.98	180.59	0.127	41555.0	0.069	0.766		SkipList-Rand-Treap-25-rawIteration2	14.75	29.76	43.79	57.5	71.18	85.17	98.97	112.82		SkipList-Rand-Treap-25-rawIteration2	7.91	15.9	24.0	32.35	40.34	48.41	56.97	65.6	1569303.0		SkipList-Rand-Treap-25-rawIteration2	37.15	69.5	122.35	165.81	195.43	217.16	228.52	230.53	
SkipList-Rand-Treap-50-rawIteration0	0.39	0.9	2.64	14.98	43.8	82.56	131.47	176.46		SkipList-Rand-Treap-50-rawIteration0	15.21	165.43	0.092	20809.0	0.111	0.665		SkipList-Rand-Treap-50-rawIteration0	15.02	30.88	46.78	61.95	77.92	93.53	109.34	124.82		SkipList-Rand-Treap-50-rawIteration0	8.01	16.58	25.18	33.75	42.92	51.68	60.23	68.8	1569299.0		SkipList-Rand-Treap-50-rawIteration0	36.4	77.41	108.36	136.15	161.06	179.11	186.76	187.56	
SkipList-Rand-Treap-50-rawIteration1	0.39	0.9	2.25	15.33	44.6	87.19	132.18	184.17		SkipList-Rand-Treap-50-rawIteration1	15.05	164.56	0.091	20389.0	0.107	0.661		SkipList-Rand-Treap-50-rawIteration1	15.46	31.45	47.05	62.89	78.9	94.57	110.12	126.03		SkipList-Rand-Treap-50-rawIteration1	8.35	16.93	25.14	33.72	42.65	51.01	59.59	68.29	1568509.0		SkipList-Rand-Treap-50-rawIteration1	33.22	68.38	99.77	138.6	165.65	182.14	190.09	193.52	
SkipList-Rand-Treap-50-rawIteration2	0.37	0.87	2.19	14.44	40.86	76.77	123.94	169.07		SkipList-Rand-Treap-50-rawIteration2	15.03	165.0	0.091	20346.0	0.116	0.641		SkipList-Rand-Treap-50-rawIteration2	16.07	32.47	48.16	64.03	79.9	95.46	111.02	127.0		SkipList-Rand-Treap-50-rawIteration2	8.59	17.5	25.78	34.41	43.3	51.68	60.26	68.83	1569303.0		SkipList-Rand-Treap-50-rawIteration2	31.41	70.71	102.24	134.72	159.64	177.35	183.83	184.62	
SkipList-Rand-Treap-100-rawIteration0	0.34	0.79	1.78	11.74	35.41	67.67	111.22	163.54		SkipList-Rand-Treap-100-rawIteration0	11.08	153.81	0.072	9997.0	0.18	0.535		SkipList-Rand-Treap-100-rawIteration0	20.63	41.06	61.86	82.12	102.71	123.26	143.81	164.25		SkipList-Rand-Treap-100-rawIteration0	10.22	21.34	31.93	42.48	53.43	64.01	74.52	85.62	1569299.0		SkipList-Rand-Treap-100-rawIteration0	35.95	73.59	104.71	131.73	152.31	166.45	171.2	171.72	
SkipList-Rand-Treap-100-rawIteration1	0.38	0.88	1.79	12.06	35.86	67.82	110.6	165.06		SkipList-Rand-Treap-100-rawIteration1	11.17	153.75	0.073	10247.0	0.167	0.555		SkipList-Rand-Treap-100-rawIteration1	19.2	39.3	59.54	79.71	99.77	120.04	140.34	160.51		SkipList-Rand-Treap-100-rawIteration1	10.18	20.62	31.39	41.79	52.27	63.53	73.95	84.64	1568509.0		SkipList-Rand-Treap-100-rawIteration1	33.49	69.81	103.35	132.39	152.73	169.01	173.54	174.04	
SkipList-Rand-Treap-100-rawIteration2	0.35	0.86	1.84	12.49	35.59	68.44	113.42	164.12		SkipList-Rand-Treap-100-rawIteration2	11.14	153.75	0.072	10154.0	0.166	0.543		SkipList-Rand-Treap-100-rawIteration2	18.9	39.76	60.26	80.04	100.73	120.84	141.19	161.07		SkipList-Rand-Treap-100-rawIteration2	10.24	21.04	31.63	42.59	53.17	63.72	74.3	85.44	1569303.0		SkipList-Rand-Treap-100-rawIteration2	37.14	75.77	110.96	139.11	161.92	176.77	180.5	181.93	
SkipList-Rand-RBT-25-rawIteration0	0.42	0.95	6.23	26.6	64.21	115.94	180.72	250.84		SkipList-Rand-RBT-25-rawIteration0	24.18	196.49	0.123	41850.0	0.072	0.773		SkipList-Rand-RBT-25-rawIteration0	13.72	28.8	42.7	56.98	70.9	85.03	98.88	112.81		SkipList-Rand-RBT-25-rawIteration0	8.01	16.18	24.59	32.78	40.92	49.39	57.55	65.72	1569299.0		SkipList-Rand-RBT-25-rawIteration0	38.31	84.04	131.98	172.21	215.18	238.09	262.2	267.61	
SkipList-Rand-RBT-25-rawIteration1	0.44	1.0	5.21	24.36	60.17	106.42	157.55	225.65		SkipList-Rand-RBT-25-rawIteration1	24.02	197.2	0.122	41426.0	0.079	0.732		SkipList-Rand-RBT-25-rawIteration1	14.02	28.67	42.76	57.0	71.03	85.64	99.69	113.8		SkipList-Rand-RBT-25-rawIteration1	8.09	16.62	24.82	33.39	42.59	50.83	59.42	67.69	1568509.0		SkipList-Rand-RBT-25-rawIteration1	45.48	97.99	141.03	184.87	219.99	244.5	255.71	257.5	
SkipList-Rand-RBT-25-rawIteration2	0.4	0.91	6.29	27.4	62.05	112.26	175.19	241.31		SkipList-Rand-RBT-25-rawIteration2	24.19	197.98	0.122	41873.0	0.073	0.75		SkipList-Rand-RBT-25-rawIteration2	14.03	28.19	42.17	57.44	71.82	86.42	100.48	114.54		SkipList-Rand-RBT-25-rawIteration2	8.06	16.5	24.71	32.91	41.41	49.76	58.3	66.54	1569303.0		SkipList-Rand-RBT-25-rawIteration2	44.2	82.75	139.96	184.1	224.53	263.17	284.59	286.78	
SkipList-Rand-RBT-50-rawIteration0	0.36	0.82	3.56	19.24	50.37	90.53	134.02	186.82		SkipList-Rand-RBT-50-rawIteration0	15.6	178.52	0.087	20470.0	0.119	0.66		SkipList-Rand-RBT-50-rawIteration0	16.0	31.91	48.45	64.19	79.69	95.94	112.02	127.86		SkipList-Rand-RBT-50-rawIteration0	8.46	17.09	26.12	34.83	43.53	52.31	60.66	69.29	1569299.0		SkipList-Rand-RBT-50-rawIteration0	36.27	74.72	110.7	141.46	174.17	194.4	203.02	206.91	
SkipList-Rand-RBT-50-rawIteration1	0.36	0.84	3.85	20.87	51.69	89.47	134.31	186.86		SkipList-Rand-RBT-50-rawIteration1	15.65	178.56	0.088	20599.0	0.12	0.644		SkipList-Rand-RBT-50-rawIteration1	15.97	32.09	48.41	64.04	80.06	95.83	112.07	128.04		SkipList-Rand-RBT-50-rawIteration1	8.51	17.26	26.17	34.88	43.46	52.12	60.88	69.64	1568509.0		SkipList-Rand-RBT-50-rawIteration1	36.41	71.65	109.72	138.49	162.74	182.82	191.2	194.49	
SkipList-Rand-RBT-50-rawIteration2	0.32	0.76	3.1	19.53	49.4	91.86	138.1	191.8		SkipList-Rand-RBT-50-rawIteration2	15.65	179.01	0.087	20599.0	0.115	0.647		SkipList-Rand-RBT-50-rawIteration2	17.51	33.8	49.76	65.47	81.65	97.66	113.38	129.49		SkipList-Rand-RBT-50-rawIteration2	8.46	17.11	25.8	34.48	43.26	51.93	60.61	69.26	1569303.0		SkipList-Rand-RBT-50-rawIteration2	32.7	72.49	107.06	139.68	168.58	192.04	202.75	203.7	
SkipList-Rand-RBT-100-rawIteration0	0.3	0.68	2.23	15.94	42.04	76.74	122.83	172.51		SkipList-Rand-RBT-100-rawIteration0	11.31	164.6	0.069	9968.0	0.192	0.523		SkipList-Rand-RBT-100-rawIteration0	20.27	41.83	62.44	83.28	103.92	124.57	144.99	165.79		SkipList-Rand-RBT-100-rawIteration0	10.27	21.17	31.73	42.82	53.69	64.59	75.08	86.07	1569299.0		SkipList-Rand-RBT-100-rawIteration0	39.41	79.71	115.62	144.2	170.68	187.44	194.37	194.91	
