Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Seq-Treap-5000-rawIteration1	0.08	0.2	0.35	0.51	0.68	0.84	1.02	1.21		BTree-Seq-Treap-5000-rawIteration1	5.17	144.21	0.036	400	0.395	0.1		BTree-Seq-Treap-5000-rawIteration1	0.22	0.45	0.65	0.87	1.07	1.35	1.54	1.74		BTree-Seq-Treap-5000-rawIteration1	5.35	10.53	16.35	22.2	27.63	32.82	38.81	44.29	8.0E7		BTree-Seq-Treap-5000-rawIteration1	0.09	0.18	0.27	0.36	0.46	0.55	0.63	0.69
BTree-Seq-Treap-5000-rawIteration2	0.08	0.21	0.36	0.51	0.66	0.82	0.98	1.14		BTree-Seq-Treap-5000-rawIteration2	5.17	144.21	0.036	400	0.398	0.095		BTree-Seq-Treap-5000-rawIteration2	0.2	0.44	0.67	0.89	1.18	1.4	1.63	1.86		BTree-Seq-Treap-5000-rawIteration2	5.38	10.66	16.61	22.18	27.75	33.59	39.02	44.44	8.0E7		BTree-Seq-Treap-5000-rawIteration2	0.09	0.18	0.27	0.36	0.45	0.54	0.63	0.69
BTree-Seq-Treap-15000-rawIteration0	0.11	0.23	0.37	0.52	0.68	0.84	1.01	1.2		BTree-Seq-Treap-15000-rawIteration0	5.06	144.07	0.035	134	0.398	0.053		BTree-Seq-Treap-15000-rawIteration0	0.21	0.42	0.65	0.89	1.09	1.32	1.52	1.71		BTree-Seq-Treap-15000-rawIteration0	5.26	10.38	15.81	21.49	26.78	31.96	37.76	43.04	8.0E7		BTree-Seq-Treap-15000-rawIteration0	0.09	0.17	0.25	0.35	0.45	0.55	0.65	0.72
BTree-Seq-Treap-15000-rawIteration1	0.12	0.24	0.41	0.57	0.72	0.89	1.04	1.21		BTree-Seq-Treap-15000-rawIteration1	5.06	144.07	0.035	134	0.386	0.041		BTree-Seq-Treap-15000-rawIteration1	0.2	0.4	0.6	0.8	1.03	1.24	1.44	1.63		BTree-Seq-Treap-15000-rawIteration1	5.26	10.42	16.16	21.7	27.32	33.17	38.4	43.64	8.0E7		BTree-Seq-Treap-15000-rawIteration1	0.09	0.17	0.25	0.33	0.41	0.5	0.58	0.63
BTree-Seq-Treap-15000-rawIteration2	0.08	0.2	0.34	0.49	0.63	0.77	0.92	1.06		BTree-Seq-Treap-15000-rawIteration2	5.06	144.07	0.035	134	0.416	0.042		BTree-Seq-Treap-15000-rawIteration2	0.21	0.4	0.6	0.8	1.02	1.22	1.42	1.61		BTree-Seq-Treap-15000-rawIteration2	5.17	10.39	16.15	21.59	26.81	32.17	37.7	43.06	8.0E7		BTree-Seq-Treap-15000-rawIteration2	0.09	0.17	0.25	0.33	0.41	0.5	0.58	0.64
BTree-Seq-Treap-25000-rawIteration0	0.08	0.19	0.36	0.5	0.64	0.78	0.93	1.07		BTree-Seq-Treap-25000-rawIteration0	5.02	144.04	0.035	80	0.413	0.05		BTree-Seq-Treap-25000-rawIteration0	0.2	0.4	0.6	0.8	1.06	1.26	1.46	1.65		BTree-Seq-Treap-25000-rawIteration0	5.16	10.22	15.64	20.85	26.58	31.66	37.43	42.75	8.0E7		BTree-Seq-Treap-25000-rawIteration0	0.08	0.17	0.25	0.33	0.41	0.49	0.57	0.62
BTree-Seq-Treap-25000-rawIteration1	0.08	0.19	0.34	0.47	0.62	0.76	0.9	1.04		BTree-Seq-Treap-25000-rawIteration1	5.02	144.04	0.035	81	0.428	0.026		BTree-Seq-Treap-25000-rawIteration1	0.2	0.42	0.63	0.83	1.09	1.29	1.49	1.68		BTree-Seq-Treap-25000-rawIteration1	5.17	10.25	15.8	21.03	26.68	31.65	37.38	42.69	8.0E7		BTree-Seq-Treap-25000-rawIteration1	0.09	0.17	0.25	0.33	0.41	0.5	0.57	0.63
BTree-Seq-Treap-25000-rawIteration2	0.08	0.19	0.34	0.48	0.62	0.77	0.91	1.05		BTree-Seq-Treap-25000-rawIteration2	5.02	144.04	0.035	81	0.412	0.034		BTree-Seq-Treap-25000-rawIteration2	0.21	0.41	0.61	0.82	1.07	1.28	1.49	1.69		BTree-Seq-Treap-25000-rawIteration2	5.12	10.17	15.51	20.74	26.45	31.48	37.31	42.62	8.0E7		BTree-Seq-Treap-25000-rawIteration2	0.09	0.17	0.25	0.33	0.41	0.5	0.57	0.63
BTree-Seq-RBT-5000-rawIteration0	0.28	0.47	0.67	0.88	1.09	1.34	1.56	1.79		BTree-Seq-RBT-5000-rawIteration0	5.18	152.22	0.034	400	0.244	0.049		BTree-Seq-RBT-5000-rawIteration0	0.23	0.42	0.62	0.81	1.1	1.3	1.49	1.69		BTree-Seq-RBT-5000-rawIteration0	5.44	10.82	16.75	22.31	27.8	33.56	39.04	44.52	8.0E7		BTree-Seq-RBT-5000-rawIteration0	0.16	0.29	0.42	0.54	0.67	0.79	0.92	1.01
BTree-Seq-RBT-5000-rawIteration1	0.13	0.3	0.51	0.76	0.97	1.2	1.42	1.64		BTree-Seq-RBT-5000-rawIteration1	5.18	152.22	0.034	400	0.263	0.075		BTree-Seq-RBT-5000-rawIteration1	0.2	0.4	0.6	0.8	1.08	1.28	1.48	1.68		BTree-Seq-RBT-5000-rawIteration1	5.44	10.83	16.49	22.35	27.78	33.08	39.1	44.66	8.0E7		BTree-Seq-RBT-5000-rawIteration1	0.13	0.26	0.38	0.51	0.63	0.76	0.89	0.99
